日期,Nasdaq 100收盘价/点位,当日涨跌幅,基础定投,额外加仓,当日投入,当日买入份额,累计份额,累计成本,按当日收盘价/点位市值,累计收益,累计收益率
2010-02-10,1753.8400,--,50.00,0.00,50.00,0.02850887,0.02850887,50.00,50.00,0.00,0.0000%
2010-02-11,1749.7600,-0.2326%,50.00,23.26,73.26,0.04187045,0.07037932,123.26,123.15,-0.12,-0.0944%
2010-02-12,1775.7400,1.4848%,50.00,0.00,50.00,0.02815728,0.09853660,173.26,174.98,1.71,0.9882%
2010-02-16,1779.1100,0.1898%,50.00,0.00,50.00,0.02810394,0.12664054,223.26,225.31,2.04,0.9156%
2010-02-17,1802.0600,1.2900%,50.00,0.00,50.00,0.02774602,0.15438656,273.26,278.21,4.95,1.8117%
2010-02-18,1810.8600,0.4883%,50.00,0.00,50.00,0.02761119,0.18199775,323.26,329.57,6.31,1.9517%
2010-02-19,1823.3900,0.6919%,50.00,0.00,50.00,0.02742145,0.20941920,373.26,381.85,8.59,2.3012%
2010-02-22,1823.3200,-0.0038%,50.00,0.38,50.38,0.02763305,0.23705226,423.65,432.22,8.57,2.0241%
2010-02-23,1817.6300,-0.3121%,50.00,31.21,81.21,0.04467730,0.28172956,504.85,512.08,7.23,1.4313%
2010-02-24,1793.8200,-1.3099%,50.00,130.99,180.99,0.10089906,0.38262862,685.85,686.37,0.52,0.0756%
2010-02-25,1812.5100,1.0419%,50.00,0.00,50.00,0.02758605,0.41021468,735.85,743.52,7.67,1.0423%
2010-02-26,1812.9100,0.0221%,50.00,0.00,50.00,0.02757997,0.43779465,785.85,793.68,7.83,0.9968%
2010-03-01,1818.6800,0.3183%,50.00,0.00,50.00,0.02749247,0.46528711,835.85,846.21,10.36,1.2394%
2010-03-02,1846.4000,1.5242%,50.00,0.00,50.00,0.02707972,0.49236684,885.85,909.11,23.26,2.6254%
2010-03-03,1851.2100,0.2605%,50.00,0.00,50.00,0.02700936,0.51937620,935.85,961.47,25.63,2.7382%
2010-03-04,1851.5700,0.0194%,50.00,0.00,50.00,0.02700411,0.54638031,985.85,1011.66,25.81,2.6183%
2010-03-05,1859.7200,0.4402%,50.00,0.00,50.00,0.02688577,0.57326608,1035.85,1066.11,30.27,2.9218%
2010-03-08,1888.5600,1.5508%,50.00,0.00,50.00,0.02647520,0.59974127,1085.85,1132.65,46.80,4.3099%
