日期,Nasdaq 100收盘价/点位,当日投入,当日买入份额,累计份额,累计成本,按当日收盘价/点位市值,累计收益,累计收益率
2010-02-10,1753.8400,50.00,0.02850887,0.02850887,50.00,50.00,0.00,0.0000%
2010-02-11,1749.7600,50.00,0.02857535,0.05708422,100.00,99.88,-0.12,-0.1163%
2010-02-12,1775.7400,50.00,0.02815728,0.08524149,150.00,151.37,1.37,0.9112%
2010-02-16,1779.1100,50.00,0.02810394,0.11334543,200.00,201.65,1.65,0.8270%
2010-02-17,1802.0600,50.00,0.02774602,0.14109146,250.00,254.26,4.26,1.7021%
2010-02-18,1810.8600,50.00,0.02761119,0.16870265,300.00,305.50,5.50,1.8323%
2010-02-19,1823.3900,50.00,0.02742145,0.19612410,350.00,357.61,7.61,2.1745%
2010-02-22,1823.3200,50.00,0.02742250,0.22354660,400.00,407.60,7.60,1.8992%
2010-02-23,1817.6300,50.00,0.02750835,0.25105495,450.00,456.33,6.33,1.4056%
2010-02-24,1793.8200,50.00,0.02787348,0.27892843,500.00,500.35,0.35,0.0695%
2010-02-25,1812.5100,50.00,0.02758605,0.30651448,550.00,555.56,5.56,1.0110%
2010-02-26,1812.9100,50.00,0.02757997,0.33409445,600.00,605.68,5.68,0.9472%
2010-03-01,1818.6800,50.00,0.02749247,0.36158692,650.00,657.61,7.61,1.1709%
2010-03-02,1846.4000,50.00,0.02707972,0.38866664,700.00,717.63,17.63,2.5192%
2010-03-03,1851.2100,50.00,0.02700936,0.41567600,750.00,769.50,19.50,2.6005%
2010-03-04,1851.5700,50.00,0.02700411,0.44268011,800.00,819.65,19.65,2.4567%
2010-03-05,1859.7200,50.00,0.02688577,0.46956588,850.00,873.26,23.26,2.7366%
2010-03-08,1888.5600,50.00,0.02647520,0.49604108,900.00,936.80,36.80,4.0893%
2010-03-09,1890.8900,50.00,0.02644257,0.52248365,950.00,987.96,37.96,3.9957%
2010-03-10,1901.3800,50.00,0.02629669,0.54878034,1000.00,1043.44,43.44,4.3440%
2010-03-11,1917.3500,50.00,0.02607766,0.57485800,1050.00,1102.20,52.20,4.9718%
2010-03-12,1923.8100,50.00,0.02599009,0.60084810,1100.00,1155.92,55.92,5.0834%
2010-03-15,1924.4300,50.00,0.02598172,0.62682981,1150.00,1206.29,56.29,4.8948%
2010-03-16,1920.0900,50.00,0.02604045,0.65287026,1200.00,1253.57,53.57,4.4641%
2010-03-17,1932.2400,50.00,0.02587670,0.67874696,1250.00,1311.50,61.50,4.9202%
2010-03-18,1936.2200,50.00,0.02582351,0.70457048,1300.00,1364.20,64.20,4.9387%
2010-03-19,1943.9400,50.00,0.02572096,0.73029143,1350.00,1419.64,69.64,5.1587%
2010-03-22,1932.4300,50.00,0.02587416,0.75616559,1400.00,1461.24,61.24,4.3741%
2010-03-23,1949.5900,50.00,0.02564642,0.78181201,1450.00,1524.21,74.21,5.1181%
2010-03-24,1963.2000,50.00,0.02546862,0.80728063,1500.00,1584.85,84.85,5.6569%
2010-03-25,1951.8400,50.00,0.02561685,0.83289749,1550.00,1625.68,75.68,4.8828%
2010-03-26,1949.1500,50.00,0.02565221,0.85854969,1600.00,1673.44,73.44,4.5901%
2010-03-29,1952.6300,50.00,0.02560649,0.88415618,1650.00,1726.43,76.43,4.6321%
2010-03-30,1961.2200,50.00,0.02549434,0.90965052,1700.00,1784.02,84.02,4.9426%
2010-03-31,1967.9600,50.00,0.02540702,0.93505754,1750.00,1840.16,90.16,5.1518%
