日期,TQQQ收盘价/点位,当日涨跌幅,基础定投,额外加仓,当日投入,当日买入份额,累计份额,累计成本,按当日收盘价/点位市值,累计收益,累计收益率
2010-02-11,0.2200,--,50.00,0.00,50.00,227.27272727,227.27272727,50.00,50.00,0.00,0.0000%
2010-02-12,0.2200,0.0000%,50.00,0.00,50.00,227.27272727,454.54545455,100.00,100.00,0.00,0.0000%
2010-02-16,0.2300,4.5455%,50.00,0.00,50.00,217.39130435,671.93675889,150.00,154.55,4.55,3.0303%
2010-02-17,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,889.32806324,200.00,204.55,4.55,2.2727%
2010-02-18,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,1106.71936759,250.00,254.55,4.55,1.8182%
2010-02-19,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,1324.11067194,300.00,304.55,4.55,1.5152%
2010-02-22,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,1541.50197628,350.00,354.55,4.55,1.2987%
2010-02-23,0.2200,-4.3478%,50.00,434.78,484.78,2203.55731225,3745.05928854,834.78,823.91,-10.87,-1.3021%
2010-02-24,0.2300,4.5455%,50.00,0.00,50.00,217.39130435,3962.45059289,884.78,911.36,26.58,3.0042%
2010-02-25,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,4179.84189723,934.78,961.36,26.58,2.8436%
2010-02-26,0.2300,0.0000%,50.00,0.00,50.00,217.39130435,4397.23320158,984.78,1011.36,26.58,2.6992%
2010-03-01,0.2400,4.3478%,50.00,0.00,50.00,208.33333333,4605.56653491,1034.78,1105.34,70.55,6.8182%
2010-03-02,0.2400,0.0000%,50.00,0.00,50.00,208.33333333,4813.89986825,1084.78,1155.34,70.55,6.5039%
2010-03-03,0.2500,4.1667%,50.00,0.00,50.00,200.00000000,5013.89986825,1134.78,1253.47,118.69,10.4595%
2010-03-04,0.2500,0.0000%,50.00,0.00,50.00,200.00000000,5213.89986825,1184.78,1303.47,118.69,10.0181%
2010-03-05,0.2600,4.0000%,50.00,0.00,50.00,192.30769231,5406.20756056,1234.78,1405.61,170.83,13.8349%
2010-03-08,0.2600,0.0000%,50.00,0.00,50.00,192.30769231,5598.51525286,1284.78,1455.61,170.83,13.2965%
2010-03-09,0.2600,0.0000%,50.00,0.00,50.00,192.30769231,5790.82294517,1334.78,1505.61,170.83,12.7984%
2010-03-10,0.2700,3.8462%,50.00,0.00,50.00,185.18518519,5976.00813036,1384.78,1613.52,228.74,16.5181%
2010-03-11,0.2700,0.0000%,50.00,0.00,50.00,185.18518519,6161.19331554,1434.78,1663.52,228.74,15.9425%
