日期,TQQQ收盘价/点位,当日投入,当日买入份额,累计份额,累计成本,按当日收盘价/点位市值,累计收益,累计收益率
2010-02-11,0.2200,50.00,227.27272727,227.27272727,50.00,50.00,0.00,0.0000%
2010-02-12,0.2200,50.00,227.27272727,454.54545455,100.00,100.00,0.00,0.0000%
2010-02-16,0.2300,50.00,217.39130435,671.93675889,150.00,154.55,4.55,3.0303%
2010-02-17,0.2300,50.00,217.39130435,889.32806324,200.00,204.55,4.55,2.2727%
2010-02-18,0.2300,50.00,217.39130435,1106.71936759,250.00,254.55,4.55,1.8182%
2010-02-19,0.2300,50.00,217.39130435,1324.11067194,300.00,304.55,4.55,1.5152%
2010-02-22,0.2300,50.00,217.39130435,1541.50197628,350.00,354.55,4.55,1.2987%
2010-02-23,0.2200,50.00,227.27272727,1768.77470356,400.00,389.13,-10.87,-2.7174%
2010-02-24,0.2300,50.00,217.39130435,1986.16600791,450.00,456.82,6.82,1.5152%
2010-02-25,0.2300,50.00,217.39130435,2203.55731225,500.00,506.82,6.82,1.3636%
2010-02-26,0.2300,50.00,217.39130435,2420.94861660,550.00,556.82,6.82,1.2397%
2010-03-01,0.2400,50.00,208.33333333,2629.28194993,600.00,631.03,31.03,5.1713%
2010-03-02,0.2400,50.00,208.33333333,2837.61528327,650.00,681.03,31.03,4.7735%
2010-03-03,0.2500,50.00,200.00000000,3037.61528327,700.00,759.40,59.40,8.4863%
2010-03-04,0.2500,50.00,200.00000000,3237.61528327,750.00,809.40,59.40,7.9205%
2010-03-05,0.2600,50.00,192.30769231,3429.92297558,800.00,891.78,91.78,11.4725%
2010-03-08,0.2600,50.00,192.30769231,3622.23066788,850.00,941.78,91.78,10.7976%
2010-03-09,0.2600,50.00,192.30769231,3814.53836019,900.00,991.78,91.78,10.1978%
2010-03-10,0.2700,50.00,185.18518519,3999.72354538,950.00,1079.93,129.93,13.6764%
2010-03-11,0.2700,50.00,185.18518519,4184.90873056,1000.00,1129.93,129.93,12.9925%
2010-03-12,0.2700,50.00,185.18518519,4370.09391575,1050.00,1179.93,129.93,12.3738%
2010-03-15,0.2700,50.00,185.18518519,4555.27910093,1100.00,1229.93,129.93,11.8114%
2010-03-16,0.2800,50.00,178.57142857,4733.85052950,1150.00,1325.48,175.48,15.2590%
2010-03-17,0.2800,50.00,178.57142857,4912.42195807,1200.00,1375.48,175.48,14.6232%
2010-03-18,0.2800,50.00,178.57142857,5090.99338665,1250.00,1425.48,175.48,14.0383%
2010-03-19,0.2800,50.00,178.57142857,5269.56481522,1300.00,1475.48,175.48,13.4983%
2010-03-22,0.2900,50.00,172.41379310,5441.97860832,1350.00,1578.17,228.17,16.9018%
2010-03-23,0.2900,50.00,172.41379310,5614.39240142,1400.00,1628.17,228.17,16.2981%
2010-03-24,0.2900,50.00,172.41379310,5786.80619453,1450.00,1678.17,228.17,15.7361%
2010-03-25,0.2900,50.00,172.41379310,5959.21998763,1500.00,1728.17,228.17,15.2116%
2010-03-26,0.2900,50.00,172.41379310,6131.63378073,1550.00,1778.17,228.17,14.7209%
2010-03-29,0.2900,50.00,172.41379310,6304.04757384,1600.00,1828.17,228.17,14.2609%
2010-03-30,0.2900,50.00,172.41379310,6476.46136694,1650.00,1878.17,228.17,13.8287%
2010-03-31,0.2900,50.00,172.41379310,6648.87516004,1700.00,1928.17,228.17,13.4220%
2010-04-01,0.2900,50.00,172.41379310,6821.28895315,1750.00,1978.17,228.17,13.0385%
2010-04-05,0.3000,50.00,166.66666667,6987.95561981,1800.00,2096.39,296.39,16.4659%
2010-04-06,0.3000,50.00,166.66666667,7154.62228648,1850.00,2146.39,296.39,16.0209%
2010-04-07,0.3000,50.00,166.66666667,7321.28895315,1900.00,2196.39,296.39,15.5993%
2010-04-08,0.3000,50.00,166.66666667,7487.95561981,1950.00,2246.39,296.39,15.1993%
2010-04-09,0.3000,50.00,166.66666667,7654.62228648,2000.00,2296.39,296.39,14.8193%
2010-04-12,0.3100,50.00,161.29032258,7815.91260906,2050.00,2422.93,372.93,18.1918%
2010-04-13,0.3100,50.00,161.29032258,7977.20293164,2100.00,2472.93,372.93,17.7587%
2010-04-14,0.3200,50.00,156.25000000,8133.45293164,2150.00,2602.70,452.70,21.0560%
2010-04-15,0.3300,50.00,151.51515152,8284.96808316,2200.00,2734.04,534.04,24.2745%
2010-04-16,0.3100,50.00,161.29032258,8446.25840574,2250.00,2618.34,368.34,16.3707%
2010-04-19,0.3100,50.00,161.29032258,8607.54872832,2300.00,2668.34,368.34,16.0148%
2010-04-20,0.3200,50.00,156.25000000,8763.79872832,2350.00,2804.42,454.42,19.3368%
2010-04-21,0.3200,50.00,156.25000000,8920.04872832,2400.00,2854.42,454.42,18.9340%
2010-04-22,0.3300,50.00,151.51515152,9071.56387983,2450.00,2993.62,543.62,22.1884%
2010-04-23,0.3300,50.00,151.51515152,9223.07903135,2500.00,3043.62,543.62,21.7446%
2010-04-26,0.3300,50.00,151.51515152,9374.59418286,2550.00,3093.62,543.62,21.3183%
2010-04-27,0.3100,50.00,161.29032258,9535.88450545,2600.00,2956.12,356.12,13.6971%
2010-04-28,0.3100,50.00,161.29032258,9697.17482803,2650.00,3006.12,356.12,13.4386%
2010-04-29,0.3300,50.00,151.51515152,9848.68997954,2700.00,3250.07,550.07,20.3729%
2010-04-30,0.3100,50.00,161.29032258,10009.98030212,2750.00,3103.09,353.09,12.8398%
2010-05-03,0.3200,50.00,156.25000000,10166.23030212,2800.00,3253.19,453.19,16.1855%
2010-05-04,0.2900,50.00,172.41379310,10338.64409523,2850.00,2998.21,148.21,5.2002%
2010-05-05,0.2900,50.00,172.41379310,10511.05788833,2900.00,3048.21,148.21,5.1106%
2010-05-06,0.2600,50.00,192.30769231,10703.36558064,2950.00,2782.88,-167.12,-5.6653%
2010-05-07,0.2400,50.00,208.33333333,10911.69891397,3000.00,2618.81,-381.19,-12.7064%
2010-05-10,0.2800,50.00,178.57142857,11090.27034254,3050.00,3105.28,55.28,1.8123%
2010-05-11,0.2800,50.00,178.57142857,11268.84177111,3100.00,3155.28,55.28,1.7831%
2010-05-12,0.2900,50.00,172.41379310,11441.25556422,3150.00,3317.96,167.96,5.3322%
2010-05-13,0.2800,50.00,178.57142857,11619.82699279,3200.00,3253.55,53.55,1.6735%
2010-05-14,0.2600,50.00,192.30769231,11812.13468509,3250.00,3071.16,-178.84,-5.5029%
2010-05-17,0.2600,50.00,192.30769231,12004.44237740,3300.00,3121.16,-178.84,-5.4195%
2010-05-18,0.2500,50.00,200.00000000,12204.44237740,3350.00,3051.11,-298.89,-8.9221%
2010-05-19,0.2500,50.00,200.00000000,12404.44237740,3400.00,3101.11,-298.89,-8.7909%
2010-05-20,0.2200,50.00,227.27272727,12631.71510468,3450.00,2778.98,-671.02,-19.4499%
2010-05-21,0.2200,50.00,227.27272727,12858.98783195,3500.00,2828.98,-671.02,-19.1721%
2010-05-24,0.2300,50.00,217.39130435,13076.37913630,3550.00,3007.57,-542.43,-15.2798%
2010-05-25,0.2200,50.00,227.27272727,13303.65186357,3600.00,2926.80,-673.20,-18.6999%
2010-05-26,0.2200,50.00,227.27272727,13530.92459084,3650.00,2976.80,-673.20,-18.4437%
2010-05-27,0.2400,50.00,208.33333333,13739.25792417,3700.00,3297.42,-402.58,-10.8805%
2010-05-28,0.2400,50.00,208.33333333,13947.59125751,3750.00,3347.42,-402.58,-10.7354%
2010-06-01,0.2300,50.00,217.39130435,14164.98256186,3800.00,3257.95,-542.05,-14.2646%
2010-06-02,0.2500,50.00,200.00000000,14364.98256186,3850.00,3591.25,-258.75,-6.7209%
2010-06-03,0.2500,50.00,200.00000000,14564.98256186,3900.00,3641.25,-258.75,-6.6347%
2010-06-04,0.2300,50.00,217.39130435,14782.37386620,3950.00,3399.95,-550.05,-13.9254%
2010-06-07,0.2100,50.00,238.09523810,15020.46910430,4000.00,3154.30,-845.70,-21.1425%
2010-06-08,0.2100,50.00,238.09523810,15258.56434239,4050.00,3204.30,-845.70,-20.8815%
2010-06-09,0.2100,50.00,238.09523810,15496.65958049,4100.00,3254.30,-845.70,-20.6269%
2010-06-10,0.2300,50.00,217.39130435,15714.05088484,4150.00,3614.23,-535.77,-12.9101%
2010-06-11,0.2300,50.00,217.39130435,15931.44218919,4200.00,3664.23,-535.77,-12.7564%
2010-06-14,0.2300,50.00,217.39130435,16148.83349353,4250.00,3714.23,-535.77,-12.6063%
2010-06-15,0.2500,50.00,200.00000000,16348.83349353,4300.00,4087.21,-212.79,-4.9486%
2010-06-16,0.2500,50.00,200.00000000,16548.83349353,4350.00,4137.21,-212.79,-4.8918%
2010-06-17,0.2600,50.00,192.30769231,16741.14118584,4400.00,4352.70,-47.30,-1.0751%
2010-06-18,0.2600,50.00,192.30769231,16933.44887815,4450.00,4402.70,-47.30,-1.0630%
2010-06-21,0.2500,50.00,200.00000000,17133.44887815,4500.00,4283.36,-216.64,-4.8142%
2010-06-22,0.2400,50.00,208.33333333,17341.78221148,4550.00,4162.03,-387.97,-8.5269%
2010-06-23,0.2400,50.00,208.33333333,17550.11554481,4600.00,4212.03,-387.97,-8.4342%
2010-06-24,0.2300,50.00,217.39130435,17767.50684916,4650.00,4086.53,-563.47,-12.1177%
2010-06-25,0.2300,50.00,217.39130435,17984.89815351,4700.00,4136.53,-563.47,-11.9888%
